Wall time,Step,Value
1587465351.328637,3316,26.0
1587465355.199721,3317,25.0
1587465358.550165,3318,21.0
1587465362.891234,3319,27.0
1587465367.671061,3320,30.0
1587465372.50594,3321,32.0
1587465375.764963,3322,21.0
1587465379.690497,3323,23.0
1587465381.543621,3324,10.0
1587465386.88181,3325,35.0
1587465390.388519,3326,21.0
1587465393.911676,3327,21.0
1587465397.614208,3328,23.0
1587465401.540893,3329,27.0
1587465406.740019,3330,33.0
1587465410.386024,3331,24.0
1587465412.13004,3332,10.0
1587465416.217486,3333,27.0
1587465421.96632,3334,36.0
1587465426.701832,3335,31.0
1587465429.295618,3336,15.0
1587465432.540329,3337,21.0
1587465436.718479,3338,26.0
1587465439.612436,3339,18.0
1587465444.107456,3340,28.0
1587465447.726438,3341,21.0
1587465451.529984,3342,23.0
1587465454.922314,3343,20.0
1587465459.427763,3344,30.0
1587465463.077631,3345,20.0
1587465465.95319,3346,18.0
1587465469.683548,3347,23.0
1587465475.297116,3348,37.0
1587465478.742541,3349,20.0
1587465480.105707,3350,6.0
1587465485.118189,3351,30.0
1587465487.673065,3352,15.0
1587465490.659037,3353,19.0
1587465494.604558,3354,25.0
1587465499.866306,3355,34.0
1587465503.0105,3356,19.0
1587465506.671296,3357,23.0
1587465510.1301,3358,22.0
1587465514.465102,3359,26.0
1587465519.632361,3360,33.0
1587465521.970464,3361,15.0
1587465524.955905,3362,17.0
1587465529.196686,3363,27.0
1587465532.302669,3364,19.0
1587465537.270026,3365,31.0
1587465541.153116,3366,21.0
1587465546.123322,3367,34.0
1587465549.078767,3368,20.0
1587465555.79007,3369,23.0
1587465566.143814,3370,26.0
1587465574.335477,3371,21.0
1587465583.809069,3372,23.0
1587465596.766692,3373,32.0
1587465606.132899,3374,24.0
1587465616.52598,3375,27.0
1587465629.736766,3376,34.0
1587465642.124826,3377,34.0
1587465647.940427,3378,11.0
1587465656.304452,3379,21.0
1587465667.32441,3380,26.0
1587465680.51828,3381,35.0
1587465691.352396,3382,26.0
1587465700.568657,3383,21.0
1587465711.13106,3384,26.0
1587465717.971518,3385,16.0
1587465731.70119,3386,32.0
1587465742.38098,3387,23.0
1587465754.85899,3388,38.0
1587465764.410046,3389,24.0
1587465778.761009,3390,36.0
1587465787.927834,3391,27.0
1587465799.290826,3392,27.0
1587465809.684034,3393,29.0
1587465821.12868,3394,29.0
1587465834.18011,3395,34.0
1587465845.176446,3396,28.0
1587465860.779755,3397,41.0
1587465872.420976,3398,31.0
1587465880.699843,3399,21.0
1587465887.113992,3400,13.0
